051201  4+ 3- 2- 3-  3- 2+ 3o 5-   24o D4* 17 0.9
051202  3+ 3+ 3+ 3o  3- 2o 3o 3+   24o     15 0.9
051203  4o 3o 2- 2+  3- 3+ 3+ 3-   23o     15 0.8
051204  2- 1- 1o 1+  2o 2- 3- 1+   12+      6 0.3
051205  1+ 1+ 0+ 1-  0+ 0+ 1- 0o    5o Q6   3 0.0
051206  0o 0+ 1- 1-  1o 0+ 0+ 1-    4o Q4   2 0.0
051207  0o 0o 0+ 0o  0o 0o 0o 0+    1- Q2   0 0.0
051208  0o 0o 0o 0o  0o 0+ 1- 1o    2o Q3   1 0.0
051209  2- 0+ 0+ 1-  0+ 1o 2- 4-   10-      6 0.3
051210  3o 4+ 3+ 1o  2- 2o 3o 3o   21+     14 0.8
051211  4- 2+ 3- 4o  3- 5- 4+ 3o   27+ D1  21 1.1
051212  3o 3+ 2o 1+  2o 3o 3o 3o   21-     12 0.7
051213  1- 2- 1o 1-  2+ 1o 2o 2-   11o      5 0.2
051214  0+ 1o 2- 1-  1- 0o 1- 0+    5+ Q7   3 0.1
051215  1o 1- 1- 1o  0o 0o 0o 0+    4- Q5   2 0.0
051216  1+ 3+ 1+ 2-  1+ 2o 2o 1-   14-      7 0.4
051217  0o 1o 1+ 2-  2- 1- 0+ 1-    7+ Q9   4 0.1
051218  1+ 1- 1- 2-  1+ 0+ 0o 1o    7o Q8   4 0.1
051219  1o 1o 1+ 1o  2+ 2+ 4- 4-   16+     10 0.6
051220  4o 3+ 2+ 2o  3+ 3o 4o 3o   25o D5* 17 0.9
051221  1+ 2o 2+ 3-  3o 3o 1+ 2-   17+      9 0.5
051222  3- 1o 1+ 1+  0+ 0+ 1o 1-    9-      5 0.2
051223  0+ 0o 0o 0o  0o 0o 0o 0o    0+ Q1   0 0.0
051224  0o 0o 0+ 1+  2+ 1o 2- 2-    8+ Q0   4 0.1
051225  1+ 3- 2o 2-  2+ 1+ 0+ 1-   12+      6 0.3
051226  0o 0o 1o 0+  1+ 2- 3o 3+   11-      6 0.3
051227  3o 1o 0+ 1o  3- 4o 5- 5+   22o D3  20 1.0
051228  4- 3- 3- 3o  3o 3o 3+ 4+   26- D2* 18 1.0
051229  3+ 3o 3+ 3-  2+ 3- 2o 3-   22o     13 0.7
051230  3- 3o 2- 2o  1o 2o 2o 2+   17-      8 0.5
051231  3o 2+ 2+ 1o  3- 3o 2o 3+   20-     11 0.6
0512                                  Mean  9 0.43

0512 Q 23   7   8   6  15   5  14  18  17  24 
0512 D 11  28* 27   1* 20*
