060901  3o 1+ 2o 2o  2o 3+ 4- 4+   22- D4* 14 0.8
060902  3- 1+ 1- 1+  1+ 1+ 2+ 2+   13+      7 0.3
060903  2- 2+ 1+ 1+  1+ 1o 1o 2o   12o      6 0.3
060904  4- 6- 4- 2+  2o 3- 3- 2o   25- D3  20 1.0
060905  3o 2+ 2- 3-  2- 3- 2o 1+   17+      9 0.5
060906  2- 2o 1+ 2o  2+ 1+ 2+ 1o   14o      6 0.3
060907  2- 2+ 3+ 2-  2+ 2+ 1+ 1-   16-      8 0.4
060908  1+ 1+ 1+ 0+  1+ 1- 0+ 1+    8o Q8   4 0.1
060909  1+ 1o 0+ 0o  0o 0o 0o 0+    3o Q3   2 0.0
060910  1o 2- 1o 1-  1- 2- 2- 1o    9+      4 0.2
060911  2+ 3o 2+ 1+  2- 1- 0+ 1-   12+      6 0.3
060912  2- 1o 2o 2o  1o 0+ 1+ 1+   11-      5 0.2
060913  1- 3- 2+ 2-  1o 1- 1- 0o   10-      5 0.2
060914  1- 2+ 2- 1+  1o 1- 0+ 0+    8+      4 0.1
060915  0o 0o 0+ 0o  0o 0o 0+ 0o    1- Q1   0 0.0
060916  1- 0+ 0o 0+  1+ 2- 1o 0o    5+ Q5   3 0.0
060917  1o 1+ 2o 4-  4- 1+ 4o 3+   20+ D5* 14 0.8
060918  4+ 4o 3+ 3+  3o 3- 5- 4-   29o D1  23 1.1
060919  3+ 3o 4- 2+  2o 1+ 2- 1+   19-     11 0.6
060920  2o 2o 1o 0+  0+ 0+ 1- 0o    7- Q9   3 0.1
060921  0o 0+ 1- 1o  1o 1- 1- 1-    5o Q4   3 0.0
060922  0o 0+ 0o 0+  0+ 0+ 1o 0+    3- Q2   2 0.0
060923  0+ 1o 1o 1-  1o 2- 3+ 5o   14o     11 0.6
060924  5- 5o 4- 5-  4- 2o 2- 2+   28- D2  24 1.2
060925  2o 2- 1+ 3+  2+ 1o 1o 2+   15o      8 0.4
060926  2- 3- 2- 1o  1+ 2- 2- 2+   14o      7 0.3
060927  2o 1+ 0o 1o  0+ 1o 0+ 0o    6o Q7   3 0.1
060928  1o 0+ 1- 1+  1- 0+ 1o 1+    7- Q6   4 0.1
060929  2o 0+ 1- 0+  1o 2- 2- 0o    8- Q0   4 0.1
060930  1- 3+ 4o 4o  2o 2+ 1+ 3-   20+     14 0.8
0609                                  Mean  8 0.36

0609 Q 15  22   9  21  16  28  27   8  20  29 
0609 D 18  24   4   1* 17*
