061001  5- 5o 4+ 4-  3o 3o 1+ 2o   27o D3  23 1.1
061002  2o 1+ 2+ 1+  2- 2- 2- 2o   14o      6 0.3
061003  2- 2+ 1+ 2-  3- 2o 1o 2-   14+      7 0.3
061004  1- 1+ 1- 0o  1- 2+ 1o 0+    7o Q0   4 0.1
061005  1o 1- 1o 1-  1o 0+ 1+ 1+    7+ Q8   4 0.1
061006  0o 0o 1+ 1o  0+ 0o 1- 1-    4o Q4   2 0.0
061007  0+ 1+ 1o 0+  2- 3+ 3+ 4o   15+     10 0.6
061008  3- 1+ 1- 2o  2- 2- 1+ 1o   12+      6 0.3
061009  0+ 3- 1+ 1-  0+ 0o 2- 1+    8+      4 0.2
061010  1o 0+ 0+ 0+  0+ 0+ 0+ 0+    3+ Q1   2 0.0
061011  1o 1o 1o 0+  1- 1- 0+ 0+    5+ Q5   3 0.1
061012  2o 1- 1- 1o  2- 1+ 1- 2+   10+      5 0.2
061013  2+ 3o 5- 4o  3+ 3o 5+ 5+   31o D1  29 1.3
061014  4+ 4o 3- 3+  2+ 4+ 4o 4o   29o D2  23 1.1
061015  2+ 3+ 2+ 2o  1+ 2o 3- 2o   18o      9 0.5
061016  2o 2- 2- 1o  1+ 1+ 2o 2+   13+      6 0.3
061017  1+ 0+ 0+ 1o  1- 1- 1- 1-    6- Q6   3 0.1
061018  1+ 2- 1o 1-  0o 0o 1+ 1o    7o Q9   3 0.1
061019  0o 1o 0o 1+  1- 0+ 0o 0o    3+ Q2   2 0.0
061020  2o 1o 2+ 2o  3o 3o 3o 3+   20-     11 0.6
061021  4+ 3o 3+ 3-  3o 4+ 4- 3-   27o D5  20 1.0
061022  3- 4o 3- 2-  2+ 3- 3+ 3o   22+     14 0.8
061023  1o 0o 0+ 1o  1- 1o 1o 2-    7- Q7   3 0.1
061024  0+ 1- 2o 1+  1+ 1- 2- 1o    9o      4 0.2
061025  2- 2+ 1+ 1o  1- 1- 1- 0o    8+      4 0.1
061026  1- 1- 1- 1o  1o 0+ 0o 0o    4+ Q3   2 0.0
061027  1- 0+ 0o 1-  0+ 0+ 2+ 2+    7o      4 0.1
061028  1o 2- 2+ 3-  3- 3o 3+ 5-   21+     14 0.8
061029  4- 4o 4- 2+  3o 3- 4+ 4o   28- D4  21 1.1
061030  4- 2+ 3- 3+  1+ 2o 1o 1o   17+     10 0.6
061031  2o 0o 0+ 1-  1o 1+ 2- 2+    9+      4 0.2
0610                                  Mean  9 0.40

0610 Q 10  19  26   6  11  17  23   5  18   4 
0610 D 13  14   1  29  21 
