g/h n m 1900.0 1905.0 1910.0 1915.0 1920.0 1925.0 1930.0 1935.0 1940.0 1945.0 1950.0 1955.0 1960.0 1965.0 1970.0 1975.0 1980.0 1985.0 1990.0 1995.0 2000.0
g  1  0 -31543 -31464 -31354 -31212 -31060 -30926 -30805 -30715 -30654 -30594 -30554 -30500 -30421 -30334 -30220 -30100 -29992 -29873 -29775 -29682 -29615   14.6
g  1  1  -2298  -2298  -2297  -2306  -2317  -2318  -2316  -2306  -2292  -2285  -2250  -2215  -2169  -2119  -2068  -2013  -1956  -1905  -1848  -1789  -1728   10.7
h  1  1   5922   5909   5898   5875   5845   5817   5808   5812   5821   5810   5815   5820   5791   5776   5737   5675   5604   5500   5406   5318   5186  -22.5
g  2  0   -677   -728   -769   -802   -839   -893   -951  -1018  -1106  -1244  -1341  -1440  -1555  -1662  -1781  -1902  -1997  -2072  -2131  -2197  -2267  -12.4
g  2  1   2905   2928   2948   2956   2959   2969   2980   2984   2981   2990   2998   3003   3002   2997   3000   3010   3027   3044   3059   3074   3072    1.1
h  2  1  -1061  -1086  -1128  -1191  -1259  -1334  -1424  -1520  -1614  -1702  -1810  -1898  -1967  -2016  -2047  -2067  -2129  -2197  -2279  -2356  -2478  -20.6
g  2  2    924   1041   1176   1309   1407   1471   1517   1550   1566   1578   1576   1581   1590   1594   1611   1632   1663   1687   1686   1685   1672   -1.1
h  2  2   1121   1065   1000    917    823    728    644    586    528    477    381    291    206    114     25    -68   -200   -306   -373   -425   -458   -9.6
g  3  0   1022   1037   1058   1084   1111   1140   1172   1206   1240   1282   1297   1302   1302   1297   1287   1276   1281   1296   1314   1329   1341    0.7
g  3  1  -1469  -1494  -1524  -1559  -1600  -1645  -1692  -1740  -1790  -1834  -1889  -1944  -1992  -2038  -2091  -2144  -2180  -2208  -2239  -2268  -2290   -5.4
h  3  1   -330   -357   -389   -421   -445   -462   -480   -494   -499   -499   -476   -462   -414   -404   -366   -333   -336   -310   -284   -263   -227    6.0
g  3  2   1256   1239   1223   1212   1205   1202   1205   1215   1232   1255   1274   1288   1289   1292   1278   1260   1251   1247   1248   1249   1253    0.9
h  3  2      3     34     62     84    103    119    133    146    163    186    206    216    224    240    251    262    271    284    293    302    296   -0.1
g  3  3    572    635    705    778    839    881    907    918    916    913    896    882    878    856    838    830    833    829    802    769    715   -7.7
h  3  3    523    480    425    360    293    229    166    101     43    -11    -46    -83   -130   -165   -196   -223   -252   -297   -352   -406   -492  -14.2
g  4  0    876    880    884    887    889    891    896    903    914    944    954    958    957    957    952    946    938    936    939    941    935   -1.3
g  4  1    628    643    660    678    695    711    727    744    762    776    792    796    800    804    800    791    782    780    780    782    787    1.6
h  4  1    195    203    211    218    220    216    205    188    169    144    136    133    135    148    167    191    212    232    247    262    272    2.1
g  4  2    660    653    644    631    616    601    584    565    550    544    528    510    504    479    461    438    398    361    325    291    251   -7.3
h  4  2    -69    -77    -90   -109   -134   -163   -195   -226   -252   -276   -278   -274   -278   -269   -266   -265   -257   -249   -240   -232   -232    1.3
g  4  3   -361   -380   -400   -416   -424   -426   -422   -415   -405   -421   -408   -397   -394   -390   -395   -405   -419   -424   -423   -421   -405    2.9
h  4  3   -210   -201   -189   -173   -153   -130   -109    -90    -72    -55    -37    -23      3     13     26     39     53     69     84     98    119    5.0
g  4  4    134    146    160    178    199    217    234    249    265    304    303    290    269    252    234    216    199    170    141    116    110   -3.2
h  4  4    -75    -65    -55    -51    -57    -70    -90   -114   -141   -178   -210   -230   -255   -269   -279   -288   -297   -297   -299   -301   -304    0.3
g  5  0   -184   -192   -201   -211   -221   -230   -237   -241   -241   -253   -240   -229   -222   -219   -216   -218   -218   -214   -214   -210   -217    0.0
g  5  1    328    328    327    327    326    326    327    329    334    346    349    360    362    358    359    356    357    355    353    352    351   -0.7
h  5  1   -210   -193   -172   -148   -122    -96    -72    -51    -33    -12      3     15     16     19     26     31     46     47     46     44     44   -0.1
g  5  2    264    259    253    245    236    226    218    211    208    194    211    230    242    254    262    264    261    253    245    237    222   -2.1
h  5  2     53     56     57     58     58     58     60     64     71     95    103    110    125    128    139    148    150    150    154    157    172    0.6
g  5  3      5     -1     -9    -16    -23    -28    -32    -33    -33    -20    -20    -23    -26    -31    -42    -59    -74    -93   -109   -122   -131   -2.8
h  5  3    -33    -32    -33    -34    -38    -44    -53    -64    -75    -67    -87    -98   -117   -126   -139   -152   -151   -154   -153   -152   -134    1.7
g  5  4    -86    -93   -102   -111   -119   -125   -131   -136   -141   -142   -147   -152   -156   -157   -160   -159   -162   -164   -165   -167   -169   -0.8
h  5  4   -124   -125   -126   -126   -125   -122   -118   -115   -113   -119   -122   -121   -114    -97    -91    -83    -78    -75    -69    -64    -40    1.9
g  5  5    -16    -26    -38    -51    -62    -69    -74    -76    -76    -82    -76    -69    -63    -62    -56    -49    -48    -46    -36    -26    -12    2.5
h  5  5      3     11     21     32     43     51     58     64     69     82     80     78     81     81     83     88     92     95     97     99    107    0.1
g  6  0     63     62     62     61     61     61     60     59     57     59     54     47     46     45     43     45     48     53     61     66     72    1.0
